Review,Padded_Sequence,Sentiment
needless to say i wont be going back anytime soon,"[964   6 126   3  62  23  91  29 243 136   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i wont be back,[ 3 62 23 29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
those burgers were amazing,"[550 519  33  68   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,"[  1  96  21 161  67 108   1 163 304   4 551 112   1  96   4 552   2  49
   4  67 965 108   0]",0
just as good as when i had it more than a year ago,"[ 50  46  16  46  70   3  21   9  86 110   5 449 474   0   0   0   0   0
   0   0   0   0   0]",1
i ordered the lemon raspberry ice cocktail which was also incredible,"[  3  89   1 966 967 968 969  57   4  53 401   0   0   0   0   0   0   0
   0   0   0   0   0]",1
overall i like this place a lot,"[205   3  38   8  14   5 206   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the sangria was about half of a glass wine full and was 12 ridiculous,"[  1 970   4  95 402  10   5 971 258 403   2   4 553 972   0   0   0   0
   0   0   0   0   0]",0
my fella got the huevos rancheros and they didnt look too appealing,"[ 18 973  85   1 974 975   2  36 204 404 141 976   0   0   0   0   0   0
   0   0   0   0   0]",0
the menu had so much good stuff on it i could not decide,"[  1  93  21  20  88  16 977  31   9   3 123  12 978   0   0   0   0   0
   0   0   0   0   0]",1
i would not recommend this place,"[  3  52  12 127   8  14   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i had the chicken pho and it tasted very bland,"[  3  21   1 105 210   2   9 157  24 112   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
so absolutley fantastic,"[ 20 979 200   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the fries were not hot and neither was my burger,"[  1 248  33  12 202   2 980   4  18  96   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
it was a pale color instead of nice and char and has no flavor,"[  9   4   5 981 505 982  10  66   2 454   2 116  67 108   0   0   0   0
   0   0   0   0   0]",0
 the food is rich so order accordingly,"[  1  11   7 983  20 101 984   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
never going back,[56 91 29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
overall i was very disappointed with the quality of food at bouchon,"[205   3   4  24  73  26   1 137  10  11  34 985   0   0   0   0   0   0
   0   0   0   0   0]",0
i had about two bites and refused to eat anymore,"[  3  21  95 203 554   2 986   6 103 987   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
probably never coming back and wouldnt recommend it,"[144  56 145  29   2 405 127   9   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
would come back again if i had a sushi craving while in vegas,"[ 52 174  29  77  44   3  21   5 125 988 305  13  58   0   0   0   0   0
   0   0   0   0   0]",1
dont do it,"[ 47 133   9   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
it is perfect for a sitdown family meal or get together with a few friends,"[  9   7 186  15   5 989 274 194 142 113 990  26   5 169 173   0   0   0
   0   0   0   0   0]",1
this is one of the best bars with food in vegas,"[  8   7  65  10   1  48 530  26  11  13  58   0   0   0   0   0   0   0
   0   0   0   0   0]",1
pretty cool i would say,"[ 79 555   3  52 126   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
this is the place where i first had pho and it was amazing,"[  8   7   1  14 247   3 100  21 210   2   9   4  68   0   0   0   0   0
   0   0   0   0   0]",1
seriously killer hot chai latte,"[171 991 202 992 993   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
this hole in the wall has great mexican street tacos and friendly staff,"[  8 994  13   1 556 116  22 544 995 306   2  59  99   0   0   0   0   0
   0   0   0   0   0]",1
def coming back to bowl next time,"[996 145  29   6 501 139  40   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i will continue to come here on ladies night andddd date night  highly recommend this place to anyone who is in the area ,"[   3   45  997    6  174   32   31  998  143  999 1000  143  512  127
    8   14    6  543  294    7   13    1  249]",1
a greasy unhealthy meal,"[   5 1001 1002  194    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
this one is simply a disappointment,"[   8   65    7 1003    5 1004    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
horrible  dont waste your time and money,"[479  47 239  55  40   2 215   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i was mortified,"[   3    4 1005    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
stopped by during the late may bank holiday off rick steve recommendation and loved it,"[ 557   76  225    1  558  406 1006 1007  241 1008 1009  407    2  148
    9    0    0    0    0    0    0    0    0]",1
the croutons also taste homemade which is an extra plus,"[   1 1010   53  134  559   57    7   43  560 1011    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the atmosphere was great with a lovely duo of violinists playing songs we requested,"[   1  260    4   22   26    5  525 1012   10 1013 1014 1015   19 1016
    0    0    0    0    0    0    0    0    0]",1
this place is a jewel in las vegas and exactly what ive been hoping to find in nearly ten years living here,"[   8   14    7    5 1017   13 1018   58    2 1019   64   87   82 1020
    6 1021   13 1022 1023  473 1024   32    0]",1
service was slow and not attentive,"[ 17   4 132   2  12 212   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
wont ever go here again,[62 51 37 32 77  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
on the good side the staff was genuinely pleasant and enthusiastic  a real treat,"[  31    1   16  214    1   99    4 1025 1026    2 1027    5  399 1028
    0    0    0    0    0    0    0    0    0]",1
omg i felt like i had never eaten thai food until this dish,"[1029    3  224   38    3   21   56  295  408   11  409    8  221    0
    0    0    0    0    0    0    0    0    0]",1
i loved the grilled pizza reminded me of legit italian pizza,"[   3  148    1  476   98 1030  122   10  561  562   98    0    0    0
    0    0    0    0    0    0    0    0    0]",1
waaaaaayyyyyyyyyy over rated is all i am saying,"[1031  207 1032    7   39    3  209 1033    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i dont know what the big deal is about this place but i wont be back yaall,"[   3   47  159   64    1 1034  250    7   95    8   14   35    3   62
   23   29 1035    0    0    0    0    0    0]",0
i was very disappointed,[ 3  4 24 73  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
spend your money elsewhere,"[445  55 215 307   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this was my first and only vegas buffet and it did not disappoint,"[  8   4  18 100   2  71  58 175   2   9  61  12 563   0   0   0   0   0
   0   0   0   0   0]",1
i loved the bacon wrapped dates,"[   3  148    1  410 1036 1037    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
walked in and the place smelled like an old grease trap and only 2 others there eating,"[ 411   13    2    1   14 1038   38   43  216 1039 1040    2   71  308
  564   49  242    0    0    0    0    0    0]",0
after the disappointing dinner we went elsewhere for dessert,"[114   1 412 309  19 117 307  15 310   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
will not be back,[45 12 23 29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
i promise they wont disappoint,"[  3 565  36  62 563   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the scallop dish is quite appalling for value as well,"[   1  566  221    7  272 1041   15  482   46   72    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
service was exceptional and food was a good as all the reviews,"[  17    4 1042    2   11    4    5   16   46   39    1  567    0    0
    0    0    0    0    0    0    0    0    0]",1
unfortunately it was not good,"[366   9   4  12  16   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the sides are delish  mixed mushrooms yukon gold puree white corn  beateous,"[   1  444   25  568 1043 1044 1045  569  570  361 1046 1047    0    0
    0    0    0    0    0    0    0    0    0]",1
we had a group of 70 when we claimed we would only have 40 and they handled us beautifully,"[  19   21    5 1048   10 1049   70   19 1050   19   52   71   28  311
    2   36 1051   90 1052    0    0    0    0]",1
it was just not a fun experience,"[  9   4  50  12   5 571  74   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
no complaints,"[ 67 572   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
my boyfriend and i sat at the bar and had a completely delightful experience,"[  18  413    2    3  488   34    1  208    2   21    5  573 1053   74
    0    0    0    0    0    0    0    0    0]",1
service sucks,"[ 17 323   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the shrimp tender and moist,"[  1 340 197   2 574   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
also there are combos like a burger fries and beer for 23 which is a decent deal,"[  53   49   25 1054   38    5   96  248    2  262   15 1055   57    7
    5  575  250    0    0    0    0    0    0]",1
after waiting an hour and being seated i was not in the greatest of moods,"[ 114  245   43  414    2  118  293    3    4   12   13    1 1056   10
 1057    0    0    0    0    0    0    0    0]",0
this is a disgrace,"[   8    7    5 1058    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
an absolute must visit,"[  43 1059  237  359    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,"[   8    4    5  415  517  110    1  296    1  120  158   35  195  287
    2  197 1060   72   46   72 1061    0    0]",1
i love their fries and their beans,"[  3  83  54 248   2  54 441   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
im not eating here,"[ 78  12 242  32   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the worst experience ever,[ 1 94 74 51  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
the burger i got the gold standard a 17 burger and was kind of disappointed,"[   1   96    3   85    1  569 1062    5 1063   96    2    4  416   10
   73    0    0    0    0    0    0    0    0]",0
this is the worst sushi i have ever eat besides costcos,"[   8    7    1   94  125    3   28   51  103 1064 1065    0    0    0
    0    0    0    0    0    0    0    0    0]",0
highquality chicken on the chicken caesar salad,"[1066  105   31    1  105 1067   97    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
will go back next trip out,"[ 45  37  29 139 284  75   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
if someone orders two tacos dont you think it may be part of customer service to ask if it is combo or ala cart,"[1068 1069  203  306   47   27  124    9  406   23  576   10  439   17
    6  326   44    9    7 1070  142 1071 1072]",0
the owner used to work at nobu so this place is really similar for half the price,"[   1  516  520    6  535   34 1073   20    8   14    7   41  577   15
  402    1  199    0    0    0    0    0    0]",1
the roast beef sandwich tasted really good,"[  1 515 290 275 157  41  16   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i had the opportunity today to sample your amazing pizzas,"[   3   21    1  578  503    6 1074   55   68 1075    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
awesome service and food,"[138  17   2  11   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
it lacked flavor seemed undercooked and dry,"[   9 1076  108 1077  579    2  297    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
do yourself a favor and stay away from this dish,"[133 417   5 580   2 581 312 106   8 221   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the potatoes were great and so was the biscuit,"[   1 1078   33   22    2   20    4    1 1079    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
very good lunch spot,"[ 24  16 246 230   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
generous portions and great taste,"[1080 1081    2   22  134    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
i wont be back,[ 3 62 23 29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
omelets are to die for,"[1082   25    6  582   15    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
that just screams legit in my booksomethats also pretty rare here in vegas,"[  30   50 1083  561   13   18 1084   53   79  334   32   13   58    0
    0    0    0    0    0    0    0    0    0]",1
its not hard to make a decent hamburger,"[  92   12  583    6  198    5  575 1085    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i had a seriously solid breakfast here,"[   3   21    5  171 1086  184   32    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
when my mom and i got home she immediately got sick and she only had a few bites of salad,"[  70   18 1087    2    3   85  357  172  584   85  277    2  172   71
   21    5  169  554   10   97    0    0    0]",0
in an interesting part of town this place is amazing,"[ 13  43 398 576  10 368   8  14   7  68   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
but now i was completely grossed out,"[  35  128    3    4  573 1088   75    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i consider this theft,"[   3 1089    8 1090    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the plantains were the worst ive ever tasted,"[   1 1091   33    1   94   87   51  157    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
it was a huge awkward 15lb piece of cow that was 34ths gristle and fat,"[   9    4    5  313 1092 1093  296   10  585   30    4 1094 1095    2
 1096    0    0    0    0    0    0    0    0]",0
we wont be going back,[19 62 23 91 29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
their menu is diverse and reasonably priced,"[  54   93    7 1097    2  493  494    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
similarly the delivery man did not say a word of apology when our food was 45 minutes late,"[1098    1 1099 1100   61   12  126    5 1101   10 1102   70   42   11
    4 1103   84  558    0    0    0    0    0]",0
i like steiners because its dark and it feels like a bar,"[   3   38 1104  160   92  539    2    9  586   38    5  208    0    0
    0    0    0    0    0    0    0    0    0]",1
this place is great,[ 8 14  7 22  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
great food and awesome service,"[ 22  11   2 138  17   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
he came running after us when he realized my husband had left his sunglasses on the table,"[  80  102  379  114   90   70   80  587   18  588   21  346  363 1105
   31    1  178    0    0    0    0    0    0]",1
ill definitely be in soon again,"[231 165  23  13 136  77   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
nice ambiance,"[ 66 188   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
this place is awesome if you want something light and healthy during the summer,"[   8   14    7  138   44   27  129  589 1106    2  590  225    1 1107
    0    0    0    0    0    0    0    0    0]",1
i cant tell you how disappointed i was,"[  3 223 369  27 140  73   3   4   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
after 20 minutes wait i got a table,"[114 489  84 121   3  85   5 178   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this place is not quality sushi it is not a quality restaurant,"[  8  14   7  12 137 125   9   7  12   5 137  69   0   0   0   0   0   0
   0   0   0   0   0]",0
i had strawberry tea which was good,"[   3   21 1108  352   57    4   16    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,"[  49    7   20   88   16   11   13   58   30    3  109 1109   15 1110
   43  242  578   76   91    6  591    2 1111]",0
the service was a little slow  considering that were served by 3 people servers so the food was coming in a slow pace,"[   1   17    4    5  149  132  418   30   33  373   76  300  168  282
   20    1   11    4  145   13    5  132 1112]",0
a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait,"[ 121  291   15  402   43  414   15   55   11   35 1114   70   19  593
   60   91   32   36  198   90  121    2  121]",0
if you stay in vegas you must get breakfast here at least once,"[ 44  27 581  13  58  27 237 113 184  32  34 594 238   0   0   0   0   0
   0   0   0   0   0]",1
we were promptly greeted and seated,"[  19   33 1115  595    2  293    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
phenomenal food service and ambiance,"[1116   11   17    2  188    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
i liked the patio and the service was outstanding,"[   3  360    1 1117    2    1   17    4  374    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
an extensive menu provides lots of options for breakfast,"[  43 1118   93 1119 1120   10  596   15  184    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the han nan chicken was also very tasty,"[   1 1121 1122  105    4   53   24  131    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
service is perfect and the family atmosphere is nice to see,"[ 17   7 186   2   1 274 260   7  66   6 288   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i took back my money and got outta there,"[   3  314   29   18  215    2   85 1123   49    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
my ribeye steak was cooked perfectly and had great mesquite flavor,"[  18 1124  153    4  240  377    2   21   22 1125  108    0    0    0
    0    0    0    0    0    0    0    0    0]",1
thoroughly disappointed,"[1126   73    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
they were excellent,"[ 36  33 147   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
very good though,"[ 24  16 315   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i as well wouldve given godfathers zero stars if possible,"[   3   46   72 1127  597 1128  302  107   44  370    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
food was really boring,"[  11    4   41 1129    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i love the pho and the spring rolls oh so yummy you have to try,"[   3   83    1  210    2    1 1130  598  599   20  316   27   28    6
  211    0    0    0    0    0    0    0    0]",1
the chips and salsa were really good the salsa was very fresh,"[  1 251   2 384  33  41  16   1 384   4  24 183   0   0   0   0   0   0
   0   0   0   0   0]",1
i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,"[   3  148   54 1131  240   13    8  258 1132    1  453    4  197    2
   54  420  252   33   63    0    0    0    0]",1
my salad had a bland vinegrette on the baby greens and hearts of palm,"[  18   97   21    5  112  600   31    1  601 1133    2 1134   10 1135
    0    0    0    0    0    0    0    0    0]",0
ive lived here since 1979 and this was the first and last time ive stepped foot into this place,"[  87 1136   32  267 1137    2    8    4    1  100    2  190   40   87
 1138 1139 1140    8   14    0    0    0    0]",0
dessert panna cotta was amazing,"[ 310 1141 1142    4   68    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the service here is fair at best,"[   1   17   32    7 1143   34   48    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
just had lunch here and had a great experience,"[ 50  21 246  32   2  21   5  22  74   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
we got the food and apparently they have never heard of salt and the batter on the fish was chewy,"[  19   85    1   11    2 1144   36   28   56  602   10 1145    2    1
 1146   31    1  298    4  421    0    0    0]",0
best service and food ever maria our server was so good and friendly she made our day,"[  48   17    2   11   51 1147   42  119    4   20   16    2   59  172
  104   42  158    0    0    0    0    0    0]",1
my boyfriend tried the mediterranean chicken salad and fell in love,"[  18  413  335    1 1148  105   97    2 1149   13   83    0    0    0
    0    0    0    0    0    0    0    0    0]",1
very slow at seating even with reservation,"[  24  132   34  603  162   26 1150    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
it was extremely crumby and pretty tasteless,"[   9    4  278 1151    2   79  337    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
this is a great place to eat,"[  8   7   5  22  14   6 103   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
terrible service,"[135  17   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
its close to my house its lowkey nonfancy affordable prices good food,"[  92  604    6   18  338   92 1152 1153 1154  177   16   11    0    0
    0    0    0    0    0    0    0    0    0]",1
there was hardly any meat,"[  49    4 1155  150  163    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
after i pulled up my car i waited for another 15 minutes before being acknowledged,"[ 114    3  386   60   18  605    3  244   15  317 1156   84  164  118
 1157    0    0    0    0    0    0    0    0]",0
no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts,"[  67 1158 1159   31    1   93    2    1  257   21  161   67 1160   46
    6   57  348   61  142   61   12 1161 1162]",0
for a self proclaimed coffee cafe i was wildly disappointed,"[  15    5 1163 1164  538  329    3    4 1165   73    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the staff is friendly and the joint is always clean,"[   1   99    7   59    2    1 1166    7  115  179    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant,"[   9  151  606  462    1  518   34    1 1167   35    3   52  318    5
  149  286   86  145  106    5   69    0    0]",0
the service here leaves a lot to be desired,"[   1   17   32 1168    5  206    6   23 1169    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
im probably one of the few people to ever go to ians and not like it,"[  78  144   65   10    1  169  168    6   51   37    6 1170    2   12
   38    9    0    0    0    0    0    0    0]",0
rude  inconsiderate management,"[ 279 1171  381    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
i would avoid this place if you are staying in the mirage,"[   3   52  236    8   14   44   27   25 1172   13    1 1173    0    0
    0    0    0    0    0    0    0    0    0]",0
5 stars for the brick oven bread app,"[ 167  107   15    1  607  608  227 1174    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
if you havent gone here go now,"[  44   27 1175  609   32   37  128    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see,"[ 249    7  219   20   27  130   71 1176   12  191    5  403  610  611
   27   47  612  118 1177   15  256    6  288]",0
hands down my favorite italian restaurant,"[1178  226   18 1179  562   69    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
only pros  large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough,"[  71 1180  299  603  249   66  208  249   22  613  332   93    1   48
  607  608   98   26  559 1181    0    0    0]",1
the service was terrible though,"[  1  17   4 135 315   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
very very fun chef,"[ 24  24 571 614   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
what a mistake,"[  64    5 1182    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
stopped by this place while in madison for the ironman very friendly kind staff,"[ 557   76    8   14  305   13 1183   15    1 1184   24   59  416   99
    0    0    0    0    0    0    0    0    0]",1
overall i was not impressed and would not go back,"[205   3   4  12 228   2  52  12  37  29   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
extremely tasty,"[278 131   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
we definately enjoyed ourselves,"[  19  455  292 1185    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
on a positive note our server was very attentive and provided great service,"[  31    5 1186  549   42  119    4   24  212    2 1187   22   17    0
    0    0    0    0    0    0    0    0    0]",1
we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed,"[  21   20   88    6  126   95    1   14  164   19  411   13   30   80
  422    9    6   23   68   35    4 1188   73]",0
it was not good,[ 9  4 12 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
great service and food,[22 17  2 11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
i think food should have flavor and texture and both were lacking,"[   3  124   11  253   28  108    2 1189    2  180   33  615    0    0
    0    0    0    0    0    0    0    0    0]",0
i dont recommend unless your car breaks down in front of it and you are starving,"[   3   47  127  611   55  605 1190  226   13 1191   10    9    2   27
   25 1192    0    0    0    0    0    0    0]",0
worst foodservice ive had in a while,"[  94 1193   87   21   13    5  305    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
all i have to say is the food was amazing,"[ 39   3  28   6 126   7   1  11   4  68   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i hope this place sticks around,"[  3 423   8  14 616 291   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
although i very much liked the look and sound of this place the actual experience was a bit disappointing,"[ 341    3   24   88  360    1  404    2 1194   10    8   14    1 1195
   74    4    5  286  412    0    0    0    0]",0
the flair bartenders are absolutely amazing,"[   1 1196 1197   25  161   68    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
i just wanted to leave,"[  3  50 617   6 513   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
tried to go here for lunch and it was a madhouse,"[ 335    6   37   32   15  246    2    9    4    5 1198    0    0    0
    0    0    0    0    0    0    0    0    0]",0
their steaks are 100 recommended,"[  54  376   25 1199  375    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",1
the staff was very attentive,"[  1  99   4  24 212   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
this was my first time and i cant wait until the next,"[  8   4  18 100  40   2   3 223 121 409   1 139   0   0   0   0   0   0
   0   0   0   0   0]",1
we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,"[  19   53   89    1 1200    2 1201   97    1 1202   33  424    2    1
  390  487   21  302  134    0    0    0    0]",0
the chicken dishes are ok the beef is like shoe leather,"[   1  105  252   25  507    1  290    7   38 1203 1204    0    0    0
    0    0    0    0    0    0    0    0    0]",0
my fianc and i came in the middle of the day and we were greeted and seated right away,"[  18 1205    2    3  102   13    1 1206   10    1  158    2   19   33
  595    2  293  254  312    0    0    0    0]",1
this was like the final blow,"[   8    4   38    1 1207 1208    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the selection was probably the worst ive seen in vegasthere was none,"[   1  196    4  144    1   94   87  618   13 1209    4 1210    0    0
    0    0    0    0    0    0    0    0    0]",0
do not waste your money here,"[133  12 239  55 215  32   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i ordered albondigas soup  which was just warm  and tasted like tomato soup with frozen meatballs,"[   3   89 1211  270   57    4   50 1212    2  157   38 1213  270   26
  451 1214    0    0    0    0    0    0    0]",0
if the food isnt bad enough for you then enjoy dealing with the worlds worstannoying drunk people,"[  44    1   11  343  111  193   15   27  201  280  619   26    1 1215
 1216 1217  168    0    0    0    0    0    0]",0
hell no will i go back,"[1218   67   45    3   37   29    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
the wontons were thin not thick and chewy almost melt in your mouth,"[   1 1219   33 1220   12 1221    2  421  620  621   13   55  397    0
    0    0    0    0    0    0    0    0    0]",1
i probably wont be back to be honest,"[  3 144  62  23  29   6  23 400   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
so in a nutshell 1 the restaraunt smells like a combination of a dirty fish market and a sewer,"[  20   13    5 1222  425    1 1223 1224   38    5 1225   10    5  380
  298 1226    2    5 1227    0    0    0    0]",0
and the red curry had so much bamboo shoots and wasnt very tasty to me,"[   2    1 1228  622   21   20   88 1229 1230    2  182   24  131    6
  122    0    0    0    0    0    0    0    0]",0
we waited for forty five minutes in vain,"[  19  244   15 1231 1232   84   13 1233    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0]",0
